object,target,lure1,lure2,baseline,trial_type,retrieval_type,encoding_onset,encoding_end,elaborate_onset,elaborate_end,elaborate_response,elaborate_rt,fc_onset,fc_end,fc_response,fc_rt,recall_onset,recall_end,recall_response,recall_rt
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,Encoding,Encoding,13.5367895999225,13.6115015998948,14.3494759999448,14.4105386999436,,,,,,,,,,
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,Encoding,Encoding,14.9280209999997,15.0116514998954,15.7642510998994,15.8439362999052,,,,,,,,,,
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,Encoding,Encoding,16.361407999997,16.4447085999418,17.0030077999691,17.0771959999111,,,,,,,,,,
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,Encoding,Encoding,17.7616781999823,17.8439974999055,18.5982930999016,18.6769301999593,,,,,,,,,,
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,Encoding,Encoding,19.2445736998925,19.3279132999014,20.0172929998953,20.0935821000021,,,,,,,,,,
handcuff,Lady Diana,Bruce Willis,Angelina Jolie,0.5,Retrieval,Lure,,,,,,,27.571164199966,27.6434463999467,,,28.398917799932,28.4767313998891,,
candle,Daniel Craig,Bruce Willis,Angelina Jolie,0.54,Retrieval,Lure,,,,,,,29.0325268999441,29.1101165999426,,,29.8671647999436,29.9435860998929,,
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,Retrieval,Retrieval,,,,,,,30.6307190998923,30.7100873999298,,,31.3548154999735,31.4266106999712,,
tape,Lady Diana,Daniel Craig,Robert De Niro,0.53,Retrieval,Lure,,,,,,,31.9833252999233,32.0597903999733,,,32.7496467999881,32.8263403999154,,
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,Retrieval,Retrieval,,,,,,,33.3451043999521,33.4262855999405,,,34.1147993999766,34.1931958999485,,
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,Retrieval,Retrieval,,,,,,,34.8316138999071,34.9094839999452,,,35.5983994998969,35.6763225999894,,
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,Retrieval,Retrieval,,,,,,,36.1989613999613,36.2764638999943,,,36.8649614999304,36.9429780999199,,
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,Retrieval,Retrieval,,,,,,,37.5119738999056,37.5929324999452,,,38.2858974999981,38.359633199987,,
