object,target,lure1,lure2,baseline,trial_type,retrieval_type,encoding_onset,encoding_end,elaborate_onset,elaborate_end,elaborate_response,elaborate_rt,fc_onset,fc_end,fc_response,fc_rt,recall_onset,recall_end,recall_response,recall_rt
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,Encoding,Encoding,14.2456849999726,16.229336099932,16.9860568000004,20.8209031999577,,,,,,,,,,
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,Encoding,Encoding,21.3618609999539,23.428897399921,24.222138699959,28.1271861999994,,,,,,,,,,
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,Encoding,Encoding,28.6283414999489,30.6117116999812,31.1660225000232,34.2884193999926,,,,,,,,,,
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,Encoding,Encoding,34.9442819999531,36.9274759999244,37.6773910999764,40.7638573999284,,,,,,,,,,
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,Encoding,Encoding,41.3109950999497,43.2941780999536,43.9788467999315,46.9603116000071,,,,,,,,,,
handcuff,Lady Diana,Bruce Willis,Angelina Jolie,0.5,Retrieval,Lure,,,,,,,77.2405595999444,80.5566747999983,,,81.2839996999828,85.3649290000321,,
candle,Daniel Craig,Bruce Willis,Angelina Jolie,0.54,Retrieval,Lure,,,,,,,85.8784330999479,88.8753317999654,,,89.6274136999855,92.658313699998,,
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,Retrieval,Retrieval,,,,,,,93.3418590999208,96.3251586999977,,,96.9582379999338,99.9411757999333,,
tape,Lady Diana,Daniel Craig,Robert De Niro,0.53,Retrieval,Lure,,,,,,,100.491142999963,103.474378100014,,,104.157652199967,107.140799199929,,
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,Retrieval,Retrieval,,,,,,,107.658602799987,110.811145199928,,,111.474259899929,114.457120899926,,
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,Retrieval,Retrieval,,,,,,,115.090565599967,118.073698299937,,,118.757024599938,121.740117999958,,
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,Retrieval,Retrieval,,,,,,,122.256968199974,125.240191499935,,,125.8236301,128.806554400013,,
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,Retrieval,Retrieval,,,,,,,129.373321300023,132.356568899937,,,133.039671099978,136.022796400008,,
