object,target,lure1,lure2,baseline,trial_type,retrieval_type,encoding_onset,encoding_end,elaborate_onset,elaborate_end,elaborate_response,elaborate_rt,fc_onset,fc_end,fc_response,fc_rt,recall_onset,recall_end,recall_response,recall_rt
metronome,Britney Spears,Jennifer Aniston,Jim Carrey,0.69,Encoding,Encoding,-2053.2287935,2.2172857999999,-2053.2287935,5.80341700000008,4$,4.59290240000018,,,,,,,,
anchor,Jim Carrey,Donald Trump,Chris Hemsworth,0.65,Encoding,Encoding,,,,,,,,,,,,,,
hand_saw,Dwayne Johnson,Robin Williams,Jackie Chan,0.61,Encoding,Encoding,,,,,,,,,,,,,,
tambourine,Jackie Chan,Jennifer Aniston,Robin Williams,0.58,Encoding,Encoding,,,,,,,,,,,,,,
acoustic_guitar,Chris Hemsworth,Dwayne Johnson,Taylor Swift,0.55,Encoding,Encoding,,,,,,,,,,,,,,
coin,Justin Bieber,Britney Spears,Chris Hemsworth,0.5,Encoding,Encoding,,,,,,,,,,,,,,
flask,Cristiano Ronaldo,Jim Carrey,Jennifer Aniston,0.53,Encoding,Encoding,,,,,,,,,,,,,,
corkscrew,Arnold Swarzenegger,Jackie Chan,Cristiano Ronaldo,0.69,Encoding,Encoding,,,,,,,,,,,,,,
blouse,Charlie Chaplin,Justin Bieber,Barack Obama,0.61,Encoding,Encoding,,,,,,,,,,,,,,
hairdryer,Donald Trump,Jackie Chan,Chris Hemsworth,0.61,Encoding,Encoding,,,,,,,,,,,,,,
pocket_watch,Barack Obama,Chris Hemsworth,Donald Trump,0.57,Encoding,Encoding,,,,,,,,,,,,,,
computer_mouse,Jennifer Aniston,Cristiano Ronaldo,Robin Williams,0.51,Encoding,Encoding,,,,,,,,,,,,,,
walker,Taylor Swift,Jackie Chan,Arnold Swarzenegger,0.64,Encoding,Encoding,,,,,,,,,,,,,,
rolling_pin,Robin Williams,Britney Spears,Taylor Swift,0.72,Encoding,Encoding,,,,,,,,,,,,,,
flask,Cristiano Ronaldo,Jim Carrey,Jennifer Aniston,0.53,Retrieval,Retrieval,,,,,,,-2053.2287935,15.4797984000002,2@,12.332938,-2053.2287935,20.268004,4$,17.3885519999999
coin,Justin Bieber,Britney Spears,Chris Hemsworth,0.5,Retrieval,Retrieval,,,,,,,,,,,,,,
anchor,Jim Carrey,Donald Trump,Chris Hemsworth,0.65,Retrieval,Retrieval,,,,,,,,,,,,,,
hand_saw,Dwayne Johnson,Robin Williams,Jackie Chan,0.61,Retrieval,Retrieval,,,,,,,,,,,,,,
tambourine,Jackie Chan,Jennifer Aniston,Robin Williams,0.58,Retrieval,Retrieval,,,,,,,,,,,,,,
metronome,Britney Spears,Jennifer Aniston,Jim Carrey,0.69,Retrieval,Retrieval,,,,,,,,,,,,,,
bar_of_soap,Donald Trump,Dwayne Johnson,Barack Obama,0.58,Retrieval,Lure,,,,,,,,,,,,,,
cello,Barack Obama,Donald Trump,Charlie Chaplin,0.53,Retrieval,Lure,,,,,,,,,,,,,,
acoustic_guitar,Chris Hemsworth,Dwayne Johnson,Taylor Swift,0.55,Retrieval,Retrieval,,,,,,,,,,,,,,
rolling_pin,Robin Williams,Britney Spears,Taylor Swift,0.72,Retrieval,Retrieval,,,,,,,,,,,,,,
computer_mouse,Jennifer Aniston,Cristiano Ronaldo,Robin Williams,0.51,Retrieval,Retrieval,,,,,,,,,,,,,,
hairdryer,Donald Trump,Jackie Chan,Chris Hemsworth,0.61,Retrieval,Retrieval,,,,,,,,,,,,,,
bowl,Jackie Chan,Barack Obama,Justin Bieber,0.6,Retrieval,Lure,,,,,,,,,,,,,,
walker,Taylor Swift,Jackie Chan,Arnold Swarzenegger,0.64,Retrieval,Retrieval,,,,,,,,,,,,,,
slot_machine,Jim Carrey,Robin Williams,Dwayne Johnson,0.71,Retrieval,Lure,,,,,,,,,,,,,,
blouse,Charlie Chaplin,Justin Bieber,Barack Obama,0.61,Retrieval,Retrieval,,,,,,,,,,,,,,
pocket_watch,Barack Obama,Chris Hemsworth,Donald Trump,0.57,Retrieval,Retrieval,,,,,,,,,,,,,,
corkscrew,Arnold Swarzenegger,Jackie Chan,Cristiano Ronaldo,0.69,Retrieval,Retrieval,,,,,,,,,,,,,,
