object,target,lure1,lure2,baseline,trial_type,retrieval_type
snowflake,Angelina Jolie,Bruce Willis,Lady Diana,0.55,Encoding,Encoding
whistle,Bruce Willis,Daniel Craig,Angelina Jolie,0.75,Encoding,Encoding
armor,Daniel Craig,Robert De Niro,Angelina Jolie,0.5,Encoding,Encoding
violin,Lady Diana,Daniel Craig,Bruce Willis,0.54,Encoding,Encoding
sarcophagus,Robert De Niro,Bruce Willis,Angelina Jolie,0.71,Encoding,Encoding
violin,Lady Diana,Daniel Craig,Bruce Willis,0.54,Retrieval,Retrieval
whistle,Bruce Willis,Daniel Craig,Angelina Jolie,0.75,Retrieval,Retrieval
armor,Daniel Craig,Robert De Niro,Angelina Jolie,0.5,Retrieval,Retrieval
snowflake,Angelina Jolie,Bruce Willis,Lady Diana,0.55,Retrieval,Retrieval
sarcophagus,Robert De Niro,Bruce Willis,Angelina Jolie,0.71,Retrieval,Retrieval
handcuff,Daniel Craig,Robert De Niro,Angelina Jolie,0.62,Retrieval,Lure
candle,Lady Diana,Robert De Niro,Bruce Willis,0.67,Retrieval,Lure
tape,Robert De Niro,Bruce Willis,Daniel Craig,0.54,Retrieval,Lure
