"object","target","lure1","lure2","baseline","trial_type","retrieval_type"
"dragon_statue","Mark Walberg","Cristiano Ronaldo","Oprah Winfrey",0.52,"Encoding","Encoding"
"axe","Matt Damon","Jessica Alba","Joe Biden",0.7,"Encoding","Encoding"
"beret","Denzel Washington","Bill Gates","Queen Elizabeth",0.73,"Encoding","Encoding"
"syringe","Cristiano Ronaldo","Albert Einstein","Mark Walberg",0.63,"Encoding","Encoding"
"joystick","Joe Biden","Queen Elizabeth","Jessica Alba",0.57,"Encoding","Encoding"
"acoustic_guitar","Sean Connery","Bill Gates","Arnold Swarzenegger",0.71,"Encoding","Encoding"
"slot_machine","Bill Gates","Jessica Alba","Joe Biden",0.55,"Encoding","Encoding"
"camera_lens","Oprah Winfrey","Sean Connery","Queen Elizabeth",0.75,"Encoding","Encoding"
"cowboy_boot","Jennifer Aniston","Joe Biden","Sean Connery",0.66,"Encoding","Encoding"
"frying_pan","Queen Elizabeth","Albert Einstein","Mark Walberg",0.59,"Encoding","Encoding"
"gear","Taylor Swift","Cristiano Ronaldo","Sean Connery",0.55,"Encoding","Encoding"
"carabiner","Albert Einstein","Arnold Swarzenegger","Denzel Washington",0.73,"Encoding","Encoding"
"hairdryer","Jessica Alba","Arnold Swarzenegger","Joe Biden",0.75,"Encoding","Encoding"
"anchor","Arnold Swarzenegger","Bill Gates","Queen Elizabeth",0.59,"Encoding","Encoding"
"axe","Matt Damon","Jessica Alba","Joe Biden",0.7,"Retrieval","Retrieval"
"microphone","Mark Walberg","Jessica Alba","Queen Elizabeth",0.74,"Retrieval","Lure"
"joystick","Joe Biden","Queen Elizabeth","Jessica Alba",0.57,"Retrieval","Retrieval"
"beret","Denzel Washington","Bill Gates","Queen Elizabeth",0.73,"Retrieval","Retrieval"
"slot_machine","Bill Gates","Jessica Alba","Joe Biden",0.55,"Retrieval","Retrieval"
"flower_pot","Jessica Alba","Mark Walberg","Queen Elizabeth",0.55,"Retrieval","Lure"
"acoustic_guitar","Sean Connery","Bill Gates","Arnold Swarzenegger",0.71,"Retrieval","Retrieval"
"dragon_statue","Mark Walberg","Cristiano Ronaldo","Oprah Winfrey",0.52,"Retrieval","Retrieval"
"syringe","Cristiano Ronaldo","Albert Einstein","Mark Walberg",0.63,"Retrieval","Retrieval"
"cowboy_boot","Jennifer Aniston","Joe Biden","Sean Connery",0.66,"Retrieval","Retrieval"
"gear","Taylor Swift","Cristiano Ronaldo","Sean Connery",0.55,"Retrieval","Retrieval"
"frying_pan","Queen Elizabeth","Albert Einstein","Mark Walberg",0.59,"Retrieval","Retrieval"
"coin","Arnold Swarzenegger","Queen Elizabeth","Joe Biden",0.66,"Retrieval","Lure"
"anchor","Arnold Swarzenegger","Bill Gates","Queen Elizabeth",0.59,"Retrieval","Retrieval"
"hairdryer","Jessica Alba","Arnold Swarzenegger","Joe Biden",0.75,"Retrieval","Retrieval"
"camera_lens","Oprah Winfrey","Sean Connery","Queen Elizabeth",0.75,"Retrieval","Retrieval"
"carabiner","Albert Einstein","Arnold Swarzenegger","Denzel Washington",0.73,"Retrieval","Retrieval"
"corkscrew","Cristiano Ronaldo","Bill Gates","Joe Biden",0.69,"Retrieval","Lure"
